area_sqft,bedrooms,bathrooms,distance_city_km,age_years,location_score,price
1573.8,2,3,0.5,13.8,7,3677778.0
1351.6,5,2,7.64,16.5,5,2962167.0
1626.7,5,2,9.01,2.8,4,3511495.0
1933.1,4,1,14.31,11.8,4,3994347.0
1318.0,5,1,3.01,6.1,5,3071694.0
1318.1,5,2,3.47,1.2,3,2858641.0
1952.7,4,3,16.26,1.0,9,4449250.0
1668.6,4,1,3.07,21.4,2,3214911.0
1235.7,2,3,3.5,14.3,7,2935121.0
1589.9,3,1,2.02,18.8,4,3180002.0
1237.8,1,1,0.5,17.3,8,2888742.0
1237.0,4,3,2.84,2.2,7,3120029.0
1484.7,4,3,5.32,2.5,8,3508286.0
730.4,5,3,5.86,4.4,4,1795389.0
796.3,2,3,0.5,7.6,2,1828714.0
1203.2,5,2,8.07,42.0,7,2953629.0
1045.5,4,2,3.39,16.8,9,2807145.0
1510.0,4,1,3.68,4.4,6,3357233.0
1082.2,5,1,16.32,0.9,7,2715719.0
905.7,4,1,1.67,17.3,6,2421769.0
1913.0,3,2,7.17,14.7,2,3708790.0
1321.0,1,3,4.28,16.9,9,3074657.0
1423.6,1,1,6.03,4.5,5,2943484.0
901.3,1,2,2.7,10.9,3,1866874.0
1209.5,3,1,1.64,6.7,4,2514420.0
1438.8,4,2,3.95,25.5,4,3133036.0
997.2,5,3,2.35,1.1,9,2930032.0
1531.5,2,2,1.26,4.8,5,3399087.0
1189.8,4,3,9.14,13.9,2,2332078.0
1297.9,3,1,3.23,3.4,6,2974465.0
1189.4,3,3,9.4,16.8,7,2849577.0
2048.3,1,2,3.21,2.2,8,4469892.0
1395.3,4,1,4.07,0.3,5,3094264.0
1029.8,1,1,25.0,29.9,8,2420806.0
1687.9,2,2,15.13,6.1,8,3728129.0
972.7,1,3,1.59,2.6,4,2333632.0
1473.1,2,2,10.15,2.8,7,3190069.0
714.1,3,3,2.47,32.6,9,2200824.0
935.1,1,3,0.5,15.9,10,2819553.0
1468.9,1,1,4.29,47.0,4,2830408.0
1658.5,5,3,18.87,24.1,9,3825689.0
1460.0,3,1,18.31,21.9,4,3042138.0
1359.5,5,2,0.68,10.4,1,2617816.0
1294.6,2,2,7.38,25.8,4,2771116.0
882.5,2,1,8.12,8.0,2,1692578.0
1148.1,3,1,2.3,26.3,6,2722478.0
1238.8,2,3,5.37,21.3,8,2861662.0
1770.0,3,1,3.35,17.0,6,3929581.0
1520.3,2,2,1.29,6.0,9,3503414.0
782.9,4,1,7.16,14.9,6,2107378.0
1513.4,1,1,1.52,10.6,7,3224840.0
1265.2,4,1,2.08,9.3,5,3080737.0
1163.1,3,3,1.05,69.5,8,2918452.0
1614.1,3,1,6.35,10.5,2,3357126.0
1760.8,4,3,3.07,0.5,2,3451472.0
1725.9,1,3,2.93,14.8,8,3823755.0
1106.3,1,1,4.64,19.5,6,2629363.0
1291.8,5,3,0.86,32.5,2,2588004.0
1515.9,2,1,11.42,15.0,6,3140591.0
1741.4,5,2,3.13,0.3,8,4123574.0
1232.3,1,2,2.28,1.9,6,2677251.0
1335.0,4,3,0.68,2.6,9,3526456.0
1012.8,2,2,0.92,3.6,6,2500067.0
981.3,4,1,12.65,24.1,3,1883973.0
1684.4,5,3,3.05,5.6,9,4197432.0
1874.7,3,1,6.4,5.6,10,4166077.0
1374.8,4,3,0.5,21.1,5,3252499.0
1751.2,5,3,5.16,8.0,6,3919019.0
1526.6,5,3,12.72,1.0,4,3224875.0
1174.2,5,3,1.78,13.2,3,2503676.0
1526.5,3,2,4.33,2.1,10,3789313.0
1938.3,3,2,14.09,12.7,5,3861175.0
1387.5,3,2,6.35,22.7,3,2970455.0
1947.6,2,3,0.5,39.8,2,3957996.0
500.0,3,2,2.38,1.0,6,1767722.0
1687.7,3,3,0.5,5.4,8,4000656.0
1430.5,3,2,9.88,15.9,3,2839095.0
1295.3,4,3,4.86,5.7,6,3008088.0
1432.1,3,2,15.66,9.0,9,3368818.0
704.4,2,2,0.5,0.3,1,1522899.0
1323.1,5,2,2.75,17.7,3,2898404.0
1525.0,4,3,0.55,32.2,2,3292767.0
1917.3,1,3,2.16,56.5,8,4186707.0
1218.6,3,2,0.88,26.6,9,2970178.0
1117.0,5,3,1.99,0.5,10,3125393.0
1224.4,5,1,8.55,15.8,6,3036188.0
1720.4,4,2,0.88,10.3,3,3379847.0
1515.1,1,2,3.21,41.7,10,3694556.0
1214.6,2,1,12.73,34.9,8,2785378.0
1579.6,5,3,25.0,66.4,10,3692176.0
1434.0,5,3,1.44,29.7,7,3499406.0
1739.0,5,3,13.71,11.9,2,3651997.0
1154.3,5,2,1.51,18.8,7,2965637.0
1285.3,4,2,2.67,50.1,1,2483908.0
1262.8,1,2,10.52,12.9,8,2790290.0
887.8,5,2,7.71,27.5,5,2168251.0
1503.6,2,2,9.74,42.8,9,3322933.0
1491.4,2,3,8.05,12.7,3,2964870.0
1401.8,3,1,1.34,2.6,7,3261530.0
1317.9,5,3,4.09,2.5,8,3038250.0
904.6,5,3,2.43,1.8,1,2138709.0
1252.8,5,2,3.08,9.7,6,2845387.0
1280.0,5,1,0.84,9.8,2,2673546.0
1119.2,5,1,1.9,14.4,8,2977506.0
1343.6,2,3,9.75,9.9,6,3156067.0
1541.4,1,1,11.39,54.2,3,2813418.0
2060.2,1,3,4.71,5.2,4,3806464.0
1461.1,3,3,3.45,31.1,7,3502610.0
1490.1,2,3,6.24,1.6,9,3416649.0
1373.9,5,3,4.69,13.8,10,3625294.0
728.4,1,2,20.58,15.7,2,1453661.0
1390.7,4,1,1.05,22.2,9,3068231.0
1421.1,4,2,2.98,10.5,6,3058694.0
